Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
N2,04/09/2026,20:00,Almere City FC,Jong Ajax,0,1
N2,04/09/2026,20:00,FC Emmen,FC Volendam,5,3
N2,04/09/2026,20:00,Helmond Sport,VVV-Venlo,4,2
N2,04/09/2026,20:00,Heracles,De Graafschap,5,0
N2,04/09/2026,20:00,RKC Waalwijk,NAC Breda,4,2
N2,04/09/2026,20:00,Vitesse,TOP Oss,2,1
N2,05/09/2026,16:30,FC Dordrecht,Jong AZ Alkmaar,3,6
N2,06/09/2026,16:45,MVV Maastricht,Roda JC Kerkrade,1,1
N2,07/08/2026,20:00,FC Dordrecht,Jong Ajax,2,1
N2,07/08/2026,20:00,FC Emmen,Roda JC Kerkrade,1,0
N2,07/08/2026,20:00,TOP Oss,NAC Breda,1,2
N2,07/08/2026,20:00,Vitesse,RKC Waalwijk,1,1
N2,07/08/2026,20:00,VVV-Venlo,Heracles,3,4
N2,07/09/2026,20:00,Jong FC Utrecht,FC Eindhoven,0,0
N2,07/09/2026,20:00,Jong PSV,FC Den Bosch,3,1
N2,08/08/2026,16:30,FC Den Bosch,Almere City FC,1,1
N2,09/08/2026,12:15,Helmond Sport,De Graafschap,1,1
N2,09/08/2026,16:45,MVV Maastricht,Jong FC Utrecht,2,1
N2,10/08/2026,20:00,Jong AZ Alkmaar,FC Eindhoven,0,1
N2,10/08/2026,20:00,Jong PSV,FC Volendam,3,2
N2,11/09/2026,20:00,FC Eindhoven,FC Dordrecht,2,1
N2,11/09/2026,20:00,FC Emmen,De Graafschap,1,2
N2,11/09/2026,20:00,Helmond Sport,Jong PSV,3,1
N2,11/09/2026,20:00,Heracles,Jong AZ Alkmaar,3,2
N2,11/09/2026,20:00,Jong Ajax,RKC Waalwijk,0,2
N2,11/09/2026,20:00,MVV Maastricht,Almere City FC,0,4
N2,11/09/2026,20:00,NAC Breda,Jong FC Utrecht,2,3
N2,11/09/2026,20:00,VVV-Venlo,TOP Oss,3,1
N2,12/09/2026,16:30,Roda JC Kerkrade,Vitesse,1,0
N2,13/09/2026,16:45,FC Volendam,FC Den Bosch,2,0
N2,14/08/2026,20:00,Almere City FC,Jong PSV,3,1
N2,14/08/2026,20:00,FC Eindhoven,MVV Maastricht,2,3
N2,14/08/2026,20:00,Heracles,FC Den Bosch,3,2
N2,14/08/2026,20:00,NAC Breda,VVV-Venlo,0,2
N2,14/08/2026,20:00,RKC Waalwijk,FC Dordrecht,2,2
N2,14/08/2026,20:00,Roda JC Kerkrade,Helmond Sport,2,1
N2,14/09/2026,20:00,Jong FC Utrecht,Jong Ajax,6,1
N2,14/09/2026,20:00,Jong PSV,Jong AZ Alkmaar,1,1
N2,15/08/2026,16:30,FC Volendam,TOP Oss,3,0
N2,17/08/2026,20:00,De Graafschap,Jong AZ Alkmaar,2,5
N2,17/08/2026,20:00,Jong Ajax,FC Emmen,4,6
N2,17/08/2026,20:00,Jong FC Utrecht,Vitesse,1,3
N2,18/09/2026,20:00,Almere City FC,Heracles,1,0
N2,18/09/2026,20:00,FC Den Bosch,Helmond Sport,2,1
N2,18/09/2026,20:00,FC Eindhoven,FC Emmen,3,1
N2,18/09/2026,20:00,Jong Ajax,Roda JC Kerkrade,0,0
N2,18/09/2026,20:00,Jong AZ Alkmaar,FC Volendam,4,1
N2,18/09/2026,20:00,Jong FC Utrecht,VVV-Venlo,1,3
N2,18/09/2026,20:00,RKC Waalwijk,MVV Maastricht,6,1
N2,18/09/2026,20:00,TOP Oss,FC Dordrecht,3,0
N2,19/09/2026,16:30,Vitesse,Jong PSV,3,1
N2,20/09/2026,16:45,De Graafschap,NAC Breda,1,2
N2,21/08/2026,20:00,FC Den Bosch,FC Eindhoven,5,2
N2,21/08/2026,20:00,FC Dordrecht,Roda JC Kerkrade,0,1
N2,21/08/2026,20:00,FC Emmen,Jong AZ Alkmaar,3,1
N2,21/08/2026,20:00,Helmond Sport,RKC Waalwijk,1,1
N2,21/08/2026,20:00,MVV Maastricht,FC Volendam,1,0
N2,21/08/2026,20:00,Vitesse,Almere City FC,0,3
N2,22/08/2026,16:30,NAC Breda,Jong Ajax,3,2
N2,23/08/2026,16:45,VVV-Venlo,De Graafschap,2,1
N2,24/08/2026,20:00,Jong FC Utrecht,Heracles,1,6
N2,24/08/2026,20:00,Jong PSV,TOP Oss,1,0
N2,28/08/2026,20:00,FC Den Bosch,Vitesse,1,4
N2,28/08/2026,20:00,FC Volendam,FC Dordrecht,6,1
N2,28/08/2026,20:00,Jong Ajax,Helmond Sport,3,2
N2,28/08/2026,20:00,Jong AZ Alkmaar,MVV Maastricht,1,2
N2,28/08/2026,20:00,RKC Waalwijk,Jong PSV,2,2
N2,28/08/2026,20:00,Roda JC Kerkrade,NAC Breda,2,2
N2,28/08/2026,20:00,TOP Oss,Jong FC Utrecht,2,1
N2,29/08/2026,16:30,De Graafschap,Almere City FC,1,4
N2,30/08/2026,12:15,FC Eindhoven,Heracles,1,3
N2,30/08/2026,16:45,VVV-Venlo,FC Emmen,4,0
N2,31/08/2026,20:00,Jong AZ Alkmaar,Jong FC Utrecht,2,1
N2,31/08/2026,20:00,Jong PSV,Jong Ajax,1,1
