Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
GRLB,01/04/2026,19:00,Ansbach,VfB Eichstätt,1,1
GRLB,01/04/2026,19:00,Burghausen,Bayern München II,1,0
GRLB,01/04/2026,19:00,DJK Vilzing,Viktoria Aschaffenburg,1,2
GRLB,01/04/2026,19:00,FC Memmingen,TSV Schwaben Augsburg,0,0
GRLB,01/04/2026,19:00,Greuther Fürth II,SpVgg Bayreuth,3,0
GRLB,01/05/2026,19:00,DJK Vilzing,TSV Schwaben Augsburg,1,0
GRLB,01/05/2026,19:00,Würzburger Kickers,Burghausen,4,1
GRLB,01/08/2025,18:30,SpVgg Hankofen-Hailing,Viktoria Aschaffenburg,1,0
GRLB,01/08/2025,18:30,Würzburger Kickers,DJK Vilzing,2,0
GRLB,01/08/2025,19:00,Bayern München II,TSV Buchbach,6,3
GRLB,01/08/2025,19:00,Burghausen,Augsburg II,3,0
GRLB,01/08/2025,19:00,FC Memmingen,Nürnberg II,0,2
GRLB,01/08/2025,19:00,SpVgg Bayreuth,FV Illertissen,1,5
GRLB,01/08/2025,19:00,TSV Schwaben Augsburg,VfB Eichstätt,1,4
GRLB,01/11/2025,14:00,TSV Aubstadt,TSV Schwaben Augsburg,1,1
GRLB,02/04/2026,17:30,Augsburg II,FV Illertissen,0,1
GRLB,02/04/2026,18:30,Würzburger Kickers,SpVgg Hankofen-Hailing,5,0
GRLB,02/04/2026,19:00,TSV Aubstadt,Nürnberg II,0,1
GRLB,02/04/2026,19:00,Unterhaching,TSV Buchbach,0,1
GRLB,02/05/2026,14:00,Ansbach,Greuther Fürth II,3,1
GRLB,02/05/2026,14:00,Nürnberg II,TSV Buchbach,8,1
GRLB,02/05/2026,14:00,TSV Aubstadt,SpVgg Hankofen-Hailing,1,1
GRLB,02/05/2026,14:00,Unterhaching,FC Memmingen,1,2
GRLB,02/05/2026,14:00,VfB Eichstätt,Viktoria Aschaffenburg,1,1
GRLB,02/08/2025,14:00,Greuther Fürth II,TSV Aubstadt,1,2
GRLB,02/08/2025,14:00,Unterhaching,Ansbach,3,0
GRLB,02/11/2025,13:00,Nürnberg II,SpVgg Bayreuth,2,0
GRLB,02/11/2025,14:00,Augsburg II,Greuther Fürth II,1,0
GRLB,02/11/2025,14:00,FV Illertissen,SpVgg Hankofen-Hailing,2,0
GRLB,02/11/2025,14:00,VfB Eichstätt,Bayern München II,3,0
GRLB,02/12/2025,19:00,Bayern München II,Nürnberg II,0,3
GRLB,03/03/2026,19:00,Burghausen,Nürnberg II,0,0
GRLB,03/03/2026,19:00,DJK Vilzing,Burghausen,3,0
GRLB,03/05/2026,14:00,Augsburg II,SpVgg Bayreuth,3,1
GRLB,03/10/2025,14:00,TSV Aubstadt,Viktoria Aschaffenburg,0,0
GRLB,03/10/2025,16:00,Augsburg II,SpVgg Hankofen-Hailing,1,1
GRLB,03/10/2025,19:00,Ansbach,Bayern München II,1,1
GRLB,04/10/2025,14:00,Burghausen,TSV Schwaben Augsburg,2,1
GRLB,04/10/2025,14:00,DJK Vilzing,SpVgg Bayreuth,1,0
GRLB,04/10/2025,14:00,FV Illertissen,TSV Buchbach,4,1
GRLB,04/10/2025,14:00,Nürnberg II,VfB Eichstätt,1,0
GRLB,04/10/2025,14:00,Unterhaching,Greuther Fürth II,5,2
GRLB,04/10/2025,14:00,Würzburger Kickers,FC Memmingen,1,0
GRLB,05/09/2025,17:30,Nürnberg II,DJK Vilzing,1,3
GRLB,05/09/2025,17:45,TSV Schwaben Augsburg,SpVgg Bayreuth,2,2
GRLB,05/09/2025,19:00,SpVgg Hankofen-Hailing,FC Memmingen,0,4
GRLB,05/09/2025,19:00,TSV Buchbach,Burghausen,3,1
GRLB,05/09/2025,19:00,Viktoria Aschaffenburg,Würzburger Kickers,0,1
GRLB,05/12/2025,19:00,Bayern München II,Burghausen,3,0
GRLB,06/03/2026,19:00,Burghausen,VfB Eichstätt,2,1
GRLB,06/03/2026,19:00,SpVgg Bayreuth,Bayern München II,2,1
GRLB,06/04/2026,14:00,Bayern München II,DJK Vilzing,1,0
GRLB,06/04/2026,14:00,FV Illertissen,TSV Aubstadt,1,0
GRLB,06/04/2026,14:00,Nürnberg II,Greuther Fürth II,2,0
GRLB,06/04/2026,14:00,SpVgg Bayreuth,FC Memmingen,3,1
GRLB,06/04/2026,14:00,SpVgg Hankofen-Hailing,Burghausen,0,1
GRLB,06/04/2026,14:00,TSV Buchbach,Ansbach,3,1
GRLB,06/04/2026,14:00,TSV Schwaben Augsburg,Würzburger Kickers,0,2
GRLB,06/04/2026,14:00,VfB Eichstätt,Augsburg II,2,2
GRLB,06/04/2026,14:00,Viktoria Aschaffenburg,Unterhaching,0,3
GRLB,06/09/2025,14:00,TSV Aubstadt,Augsburg II,2,0
GRLB,06/09/2025,14:00,VfB Eichstätt,Unterhaching,1,1
GRLB,07/03/2026,14:00,Ansbach,Nürnberg II,2,0
GRLB,07/03/2026,14:00,DJK Vilzing,Augsburg II,0,1
GRLB,07/03/2026,14:00,FC Memmingen,Viktoria Aschaffenburg,0,0
GRLB,07/03/2026,14:00,Greuther Fürth II,SpVgg Hankofen-Hailing,2,2
GRLB,07/03/2026,14:00,TSV Schwaben Augsburg,TSV Buchbach,2,2
GRLB,07/03/2026,14:00,Unterhaching,FV Illertissen,2,0
GRLB,07/03/2026,14:00,Würzburger Kickers,TSV Aubstadt,1,0
GRLB,07/11/2025,19:00,Burghausen,Unterhaching,1,3
